Code,Name,Date,Open,High,Low,Close,Change,Volume,Shares
VOLQ.GI,NASDAQ-100 Volatility Index,2014-01-02,14.02,14.02,14.02,14.02,0,0,0
VOLQ.GI,NASDAQ-100 Volatility Index,2014-01-03,13.89,13.89,13.89,13.89,-0.0093,0,0
VOLQ.GI,NASDAQ-100 Volatility Index,2014-01-06,13.34,13.34,13.34,13.34,-0.0396,0,0
VOLQ.GI,NASDAQ-100 Volatility Index,2014-01-07,12.75,12.75,12.75,12.75,-0.0442,0,0
VOLQ.GI,NASDAQ-100 Volatility Index,2014-01-08,12.44,12.44,12.44,12.44,-0.0243,0,0
VOLQ.GI,NASDAQ-100 Volatility Index,2014-01-09,13.22,13.22,13.22,13.22,0.0627,0,0
VOLQ.GI,NASDAQ-100 Volatility Index,2014-01-10,12.24,12.24,12.24,12.24,-0.0741,0,0
VOLQ.GI,NASDAQ-100 Volatility Index,2014-01-13,12.82,12.82,12.82,12.82,0.0474,0,0
VOLQ.GI,NASDAQ-100 Volatility Index,2014-01-14,11.64,11.64,11.64,11.64,-0.092,0,0
VOLQ.GI,NASDAQ-100 Volatility Index,2014-01-15,11.63,11.63,11.63,11.63,-0.0009,0,0
VOLQ.GI,NASDAQ-100 Volatility Index,2014-01-16,12.65,12.65,12.65,12.65,0.0877,0,0
VOLQ.GI,NASDAQ-100 Volatility Index,2014-01-17,12.11,12.11,12.11,12.11,-0.0427,0,0
VOLQ.GI,NASDAQ-100 Volatility Index,2014-01-21,11.33,11.33,11.33,11.33,-0.0644,0,0
VOLQ.GI,NASDAQ-100 Volatility Index,2014-01-22,11.33,11.33,11.33,11.33,0,0,0
VOLQ.GI,NASDAQ-100 Volatility Index,2014-01-23,13.16,13.16,13.16,13.16,0.1615,0,0
VOLQ.GI,NASDAQ-100 Volatility Index,2014-01-24,15.63,15.63,15.63,15.63,0.1877,0,0
VOLQ.GI,NASDAQ-100 Volatility Index,2014-01-27,15.76,15.76,15.76,15.76,0.0083,0,0
VOLQ.GI,NASDAQ-100 Volatility Index,2014-01-28,14.45,14.45,14.45,14.45,-0.0831,0,0
VOLQ.GI,NASDAQ-100 Volatility Index,2014-01-29,15.23,15.23,15.23,15.23,0.054,0,0
VOLQ.GI,NASDAQ-100 Volatility Index,2014-01-30,15.99,15.99,15.99,15.99,0.0499,0,0
VOLQ.GI,NASDAQ-100 Volatility Index,2014-01-31,16.4,16.4,16.4,16.4,0.0256,0,0
VOLQ.GI,NASDAQ-100 Volatility Index,2014-02-03,18.42,18.42,18.42,18.42,0.1232,0,0
VOLQ.GI,NASDAQ-100 Volatility Index,2014-02-04,17.17,17.17,17.17,17.17,-0.0679,0,0
VOLQ.GI,NASDAQ-100 Volatility Index,2014-02-05,17.7,17.7,17.7,17.7,0.0309,0,0
VOLQ.GI,NASDAQ-100 Volatility Index,2014-02-06,17.36,17.36,17.36,17.36,-0.0192,0,0
VOLQ.GI,NASDAQ-100 Volatility Index,2014-02-07,14.68,14.68,14.68,14.68,-0.1544,0,0
VOLQ.GI,NASDAQ-100 Volatility Index,2014-02-10,13.9,13.9,13.9,13.9,-0.0531,0,0
VOLQ.GI,NASDAQ-100 Volatility Index,2014-02-11,13.16,13.16,13.16,13.16,-0.0532,0,0
VOLQ.GI,NASDAQ-100 Volatility Index,2014-02-12,12.95,12.95,12.95,12.95,-0.016,0,0
VOLQ.GI,NASDAQ-100 Volatility Index,2014-02-13,13.82,13.82,13.82,13.82,0.0672,0,0
VOLQ.GI,NASDAQ-100 Volatility Index,2014-02-14,13.06,13.06,13.06,13.06,-0.055,0,0
VOLQ.GI,NASDAQ-100 Volatility Index,2014-02-18,12.66,12.66,12.66,12.66,-0.0306,0,0
VOLQ.GI,NASDAQ-100 Volatility Index,2014-02-19,13.34,13.34,13.34,13.34,0.0537,0,0
VOLQ.GI,NASDAQ-100 Volatility Index,2014-02-20,14.04,14.04,14.04,14.04,0.0525,0,0
VOLQ.GI,NASDAQ-100 Volatility Index,2014-02-21,13.94,13.94,13.94,13.94,-0.0071,0,0
VOLQ.GI,NASDAQ-100 Volatility Index,2014-02-24,12.78,12.78,12.78,12.78,-0.0832,0,0
VOLQ.GI,NASDAQ-100 Volatility Index,2014-02-25,12.61,12.61,12.61,12.61,-0.0133,0,0
VOLQ.GI,NASDAQ-100 Volatility Index,2014-02-26,12.65,12.65,12.65,12.65,0.0032,0,0
VOLQ.GI,NASDAQ-100 Volatility Index,2014-02-27,13.33,13.33,13.33,13.33,0.0538,0,0
VOLQ.GI,NASDAQ-100 Volatility Index,2014-02-28,13.28,13.28,13.28,13.28,-0.0038,0,0
VOLQ.GI,NASDAQ-100 Volatility Index,2014-03-03,14.43,14.43,14.43,14.43,0.0866,0,0
VOLQ.GI,NASDAQ-100 Volatility Index,2014-03-04,12.87,12.87,12.87,12.87,-0.1081,0,0
VOLQ.GI,NASDAQ-100 Volatility Index,2014-03-05,12.45,12.45,12.45,12.45,-0.0326,0,0
VOLQ.GI,NASDAQ-100 Volatility Index,2014-03-06,13.4,13.4,13.4,13.4,0.0763,0,0
VOLQ.GI,NASDAQ-100 Volatility Index,2014-03-07,13.51,13.51,13.51,13.51,0.0082,0,0
VOLQ.GI,NASDAQ-100 Volatility Index,2014-03-10,13.1,13.1,13.1,13.1,-0.0303,0,0
VOLQ.GI,NASDAQ-100 Volatility Index,2014-03-11,13.31,13.31,13.31,13.31,0.016,0,0
VOLQ.GI,NASDAQ-100 Volatility Index,2014-03-12,12.78,12.78,12.78,12.78,-0.0398,0,0
VOLQ.GI,NASDAQ-100 Volatility Index,2014-03-13,15.66,15.66,15.66,15.66,0.2254,0,0
VOLQ.GI,NASDAQ-100 Volatility Index,2014-03-14,16.79,16.79,16.79,16.79,0.0722,0,0
VOLQ.GI,NASDAQ-100 Volatility Index,2014-03-17,14.87,14.87,14.87,14.87,-0.1144,0,0
VOLQ.GI,NASDAQ-100 Volatility Index,2014-03-18,13.48,13.48,13.48,13.48,-0.0935,0,0
VOLQ.GI,NASDAQ-100 Volatility Index,2014-03-19,13.39,13.39,13.39,13.39,-0.0067,0,0
VOLQ.GI,NASDAQ-100 Volatility Index,2014-03-20,14.14,14.14,14.14,14.14,0.056,0,0
VOLQ.GI,NASDAQ-100 Volatility Index,2014-03-21,14.96,14.96,14.96,14.96,0.058,0,0
VOLQ.GI,NASDAQ-100 Volatility Index,2014-03-24,14.9,14.9,14.9,14.9,-0.004,0,0
