date,close,open,high,low,volume
2024-09-04,24.2,25.18,25.25,22.91,0.0
2024-09-05,23.54,24.11,24.65,22.62,0.0
2024-09-06,25.64,23.3,26.39,23.07,0.0
2024-09-09,23.92,24.85,25.12,23.73,0.0
2024-09-10,23.62,23.81,25.08,23.52,0.0
2024-09-11,22.16,23.36,25.24,22.08,0.0
2024-09-12,21.73,22.65,23.07,21.54,0.0
2024-09-13,21.28,22.05,22.07,21.0,0.0
2024-09-16,22.51,22.63,23.23,22.34,0.0
2024-09-17,22.69,22.37,23.33,22.13,0.0
2024-09-18,22.71,23.4,23.72,21.27,0.0
2024-09-19,21.09,20.81,21.65,20.78,0.0
2024-09-20,20.35,21.08,21.1,19.98,0.0
2024-09-23,19.54,20.59,20.66,19.46,0.0
2024-09-24,19.25,19.55,20.1,19.05,0.0
2024-09-25,19.07,19.51,19.52,19.07,0.0
2024-09-26,19.29,19.13,20.05,19.07,0.0
2024-09-27,20.04,19.36,20.06,19.11,0.0
2024-09-30,20.19,20.97,21.09,20.02,0.0
2024-10-01,21.67,20.5,23.02,20.49,0.0
2024-10-02,21.35,22.22,22.88,21.17,0.0
2024-10-03,22.48,22.34,23.12,21.61,0.0
2024-10-04,21.64,21.88,22.7,21.34,0.0
2024-10-07,24.34,23.69,24.82,23.27,0.0
2024-10-08,23.62,24.0,24.06,23.39,0.0
2024-10-09,23.42,23.89,23.93,23.21,0.0
2024-10-10,23.6,23.82,23.98,23.45,0.0
2024-10-11,23.29,24.02,24.02,23.03,0.0
2024-10-14,23.32,23.99,23.99,23.25,0.0
2024-10-15,24.54,23.48,24.85,23.23,0.0
2024-10-16,23.64,24.8,25.35,23.56,0.0
2024-10-17,22.85,23.27,23.9,22.61,0.0
2024-10-18,21.76,22.77,22.86,21.57,0.0
2024-10-21,21.96,22.44,22.83,21.96,0.0
2024-10-22,22.03,22.75,22.84,21.85,0.0
2024-10-23,22.92,22.43,24.06,22.25,0.0
2024-10-24,22.47,22.8,23.5,22.34,0.0
2024-10-25,23.24,22.04,23.53,21.78,0.0
2024-10-28,22.93,22.78,23.03,22.48,0.0
2024-10-29,22.44,23.19,23.59,22.29,0.0
2024-10-30,23.09,22.98,23.36,22.35,0.0
2024-10-31,24.86,23.99,25.15,23.78,0.0
2024-11-01,23.74,24.36,24.36,23.28,0.0
2024-11-04,23.88,24.52,24.95,23.69,0.0
2024-11-05,22.5,23.82,23.82,22.45,0.0
2024-11-06,18.86,19.07,19.93,18.74,0.0
2024-11-07,18.35,18.57,18.65,18.24,0.0
2024-11-08,17.88,18.31,18.37,17.65,0.0
2024-11-11,18.37,18.7,18.96,18.21,0.0
2024-11-12,18.12,18.69,18.69,18.11,0.0
2024-11-13,17.5,18.18,18.19,17.13,0.0
2024-11-14,17.7,17.67,17.8,16.98,0.0
2024-11-15,19.83,18.42,20.89,18.22,0.0
2024-11-18,19.77,20.79,20.85,19.5,0.0
2024-11-19,19.99,21.09,21.13,19.58,0.0
2024-11-20,20.85,20.42,22.39,20.31,0.0
2024-11-21,20.21,19.55,21.37,19.34,0.0
2024-11-22,18.57,19.98,20.05,18.54,0.0
2024-11-25,17.59,18.38,18.68,17.57,0.0
2024-11-26,16.8,17.56,17.56,16.72,0.0
2024-11-27,16.68,17.05,17.67,16.66,0.0
2024-11-29,16.07,16.84,16.94,16.07,0.0
2024-12-02,16.12,16.57,16.64,16.07,0.0
2024-12-03,15.76,16.47,16.5,15.62,0.0
2024-12-04,15.69,15.7,15.98,15.54,0.0
2024-12-05,15.69,15.79,15.79,15.48,0.0
2024-12-06,15.15,15.43,15.43,15.05,0.0
2024-12-09,16.55,15.99,16.6,15.82,0.0
2024-12-10,16.54,16.68,16.91,16.28,0.0
2024-12-11,15.88,16.13,16.32,15.73,0.0
2024-12-12,16.36,16.1,16.44,15.9,0.0
2024-12-13,16.61,16.1,16.7,15.83,0.0
2024-12-16,18.44,17.39,18.44,17.3,0.0
2024-12-17,19.44,18.76,19.57,18.31,0.0
2024-12-18,27.63,18.8,28.16,18.64,0.0
2024-12-19,26.33,23.67,26.34,22.98,0.0
2024-12-20,21.49,26.14,26.14,20.89,0.0
2024-12-23,19.03,20.99,21.88,19.03,0.0
2024-12-24,17.03,18.9,18.9,16.92,0.0
2024-12-26,17.53,17.92,18.36,17.24,0.0
2024-12-27,18.54,18.5,20.29,18.49,0.0
2024-12-30,19.79,20.32,20.83,19.06,0.0
2024-12-31,19.92,19.57,20.2,19.23,0.0
2025-01-02,20.5,20.08,21.51,19.86,0.0
2025-01-03,19.12,20.36,20.4,19.03,0.0
2025-01-06,19.0,19.42,19.66,19.0,0.0
2025-01-07,20.73,19.13,21.38,19.05,0.0
2025-01-08,20.69,21.61,22.07,20.47,0.0
2025-01-10,21.73,21.85,22.76,21.26,0.0
2025-01-13,21.8,23.36,23.45,21.74,0.0
2025-01-14,21.45,21.79,22.21,21.15,0.0
2025-01-15,19.29,20.19,20.19,19.12,0.0
2025-01-16,19.61,19.45,19.74,18.85,0.0
2025-01-17,18.96,18.95,19.26,18.68,0.0
2025-01-21,18.64,19.52,19.8,18.18,0.0
2025-01-22,18.68,18.67,18.72,18.34,0.0
2025-01-23,18.38,18.87,18.87,18.18,0.0
2025-01-24,18.22,18.5,18.68,18.08,0.0
2025-01-27,21.61,22.17,22.38,20.76,0.0
2025-01-28,20.31,21.38,21.87,20.16,0.0
2025-01-29,20.6,20.44,21.52,20.33,0.0
2025-01-30,19.8,19.83,20.34,19.16,0.0
2025-01-31,20.11,19.32,20.41,18.89,0.0
2025-02-03,21.28,22.23,22.78,20.79,0.0
2025-02-04,20.03,20.99,20.99,19.97,0.0
2025-02-05,19.18,20.05,20.31,19.17,0.0
2025-02-06,18.58,19.27,19.29,18.52,0.0
2025-02-07,19.18,18.22,19.55,18.03,0.0
2025-02-10,18.84,18.96,19.26,18.71,0.0
2025-02-11,18.77,19.15,19.16,18.56,0.0
2025-02-12,18.69,19.38,19.49,18.62,0.0
2025-02-13,18.41,18.81,19.09,18.32,0.0
2025-02-14,18.03,18.67,18.71,18.02,0.0
2025-02-18,19.23,19.73,20.08,18.78,0.0
2025-02-19,19.0,19.93,19.98,18.46,0.0
2025-02-20,18.9,19.07,20.14,18.73,0.0
2025-02-21,20.96,18.73,21.55,18.71,0.0
2025-02-24,21.46,20.72,22.52,20.18,0.0
2025-02-25,21.98,21.73,23.49,21.52,0.0
2025-02-26,21.94,22.09,22.79,20.82,0.0
2025-02-27,24.09,21.0,24.23,20.86,0.0
2025-02-28,22.66,24.49,25.05,22.37,0.0
2025-03-03,24.96,22.88,25.87,22.44,0.0
2025-03-04,25.22,26.48,27.47,24.07,0.0
