,"开盘价
[单位] 元","收盘价
[单位] 元"
时间,沪深300,沪深300
2020/01/02,4121.3487,4152.2408
2020/01/03,4161.2185,4144.9649
2020/01/06,4120.5211,4129.2954
2020/01/07,4137.4019,4160.2274
2020/01/08,4139.6315,4112.3172
2020/01/09,4145.5345,4164.3697
2020/01/10,4177.5777,4163.1849
2020/01/13,4166.9254,4203.9883
2020/01/14,4215.1578,4189.8862
2020/01/15,4186.881,4166.7344
2020/01/16,4174.8172,4149.0434
2020/01/17,4162.1939,4154.853
2020/01/20,4170.7365,4185.8304
2020/01/21,4165.0203,4114.3085
2020/01/22,4093.8009,4131.9311
2020/01/23,4093.3229,4003.9013
2020/02/03,3639.9089,3688.3578
2020/02/04,3652.0035,3785.6376
2020/02/05,3801.099,3828.5272
2020/02/06,3841.7537,3899.7751
2020/02/07,3879.5531,3899.8693
2020/02/10,3872.3738,3916.0052
2020/02/11,3926.4204,3952.4643
2020/02/12,3945.6663,3984.4325
2020/02/13,3985.8757,3959.9188
2020/02/14,3954.234,3987.7342
2020/02/17,3999.6511,4077.4241
2020/02/18,4069.8315,4057.5108
2020/02/19,4049.5862,4051.3107
2020/02/20,4062.8968,4144.6561
2020/02/21,4134.8747,4149.4903
2020/02/24,4131.8364,4132.8388
2020/02/25,4066.302,4123.8543
2020/02/26,4070.0994,4073.0152
2020/02/27,4084.0782,4084.8759
2020/02/28,3988.7274,3940.0488
2020/03/02,3968.8435,4069.6662
2020/03/03,4125.1356,4091.3615
2020/03/04,4078.4998,4115.0524
2020/03/05,4150.21,4206.7251
2020/03/06,4158.2021,4138.5072
2020/03/09,4063.076,3997.1325
2020/03/10,3975.2288,4082.7315
2020/03/11,4090.9348,4028.4289
2020/03/12,3976.1139,3950.9111
2020/03/13,3771.0139,3895.3128
2020/03/16,3899.8598,3727.8398
2020/03/17,3739.7833,3709.6822
2020/03/18,3729.6853,3636.2565
2020/03/19,3623.789,3589.0926
2020/03/20,3629.5126,3653.2239
2020/03/23,3542.6837,3530.3058
2020/03/24,3598.6548,3625.1146
2020/03/25,3711.4753,3722.5181
2020/03/26,3692.6083,3698.0472
2020/03/27,3746.3914,3710.0605
2020/03/30,3657.4624,3674.1108
2020/03/31,3708.1404,3686.1551
2020/04/01,3682.2966,3675.0758
2020/04/02,3656.3225,3734.5306
2020/04/03,3721.4815,3713.2183
2020/04/07,3779.9076,3798.0214
2020/04/08,3776.4171,3780.3445
2020/04/09,3798.4879,3792.8105
2020/04/10,3794.8429,3769.1782
2020/04/13,3751.7093,3753.2566
2020/04/14,3777.8343,3825.6991
2020/04/15,3820.8506,3797.3623
2020/04/16,3777.7986,3802.3806
2020/04/17,3831.9232,3839.4871
2020/04/20,3845.4598,3853.4551
2020/04/21,3838.2314,3808.0474
2020/04/22,3789.1297,3839.3834
2020/04/23,3851.9132,3829.7525
2020/04/24,3826.3116,3796.9721
2020/04/27,3808.0171,3822.769
2020/04/28,3835.348,3849.1465
2020/04/29,3837.5135,3867.032
2020/04/30,3880.4094,3912.5772
2020/05/06,3867.2587,3936.2539
2020/05/07,3937.5918,3924.8946
2020/05/08,3942.9972,3963.6217
2020/05/11,3974.7605,3960.1803
2020/05/12,3961.3427,3960.2378
2020/05/13,3946.6428,3968.2529
2020/05/14,3952.1986,3925.2177
2020/05/15,3941.125,3912.8159
2020/05/18,3914.6602,3922.9117
2020/05/19,3963.7754,3956.2495
2020/05/20,3955.7145,3935.222
2020/05/21,3950.5981,3913.7949
2020/05/22,3907.5761,3824.064
2020/05/25,3828.3206,3829.3245
2020/05/26,3850.0009,3872.7701
2020/05/27,3873.6984,3845.6135
2020/05/28,3848.4892,3856.6324
2020/05/29,3838.3769,3867.0232
2020/06/01,3901.7263,3971.3402
2020/06/02,3969.9521,3983.5677
2020/06/03,4001.1708,3983.6477
2020/06/04,3998.1636,3982.1851
2020/06/05,3988.2239,4001.2509
2020/06/08,4023.606,4021.9549
2020/06/09,4027.5613,4047.0293
2020/06/10,4046.2317,4039.7051
2020/06/11,4031.7396,3995.8846
2020/06/12,3931.6236,4003.0829
2020/06/15,3982.9672,3954.9883
2020/06/16,3995.5786,4014.5702
2020/06/17,4018.6094,4017.5941
2020/06/18,4009.7831,4044.3842
2020/06/19,4047.0483,4098.7095
2020/06/22,4097.5071,4102.0459
2020/06/23,4098.0373,4121.7944
2020/06/24,4128.1003,4138.9895
2020/06/29,4127.9348,4109.7164
2020/06/30,4130.0028,4163.9637
2020/07/01,4172.6425,4247.7835
2020/07/02,4239.408,4335.8445
2020/07/03,4353.1937,4419.5955
2020/07/06,4465.8081,4670.0949
2020/07/07,4739.6104,4698.1264
2020/07/08,4692.8621,4774.0042
2020/07/09,4770.0769,4840.7712
2020/07/10,4796.0873,4753.1333
2020/07/13,4742.3738,4852.9612
2020/07/14,4836.1655,4806.6902
2020/07/15,4821.5155,4744.4687
2020/07/16,4741.5295,4516.2532
2020/07/17,4524.7717,4544.7007
2020/07/20,4597.2038,4680.3046
2020/07/21,4697.5026,4691.0425
2020/07/22,4682.6575,4714.4454
2020/07/23,4668.7401,4712.4357
2020/07/24,4679.0273,4505.5906
2020/07/27,4535.0053,4528.45
2020/07/28,4567.6691,4568.2576
2020/07/29,4559.1634,4679.008
2020/07/30,4689.7632,4656.1506
2020/07/31,4652.1824,4695.0462
2020/08/03,4735.8985,4771.3108
2020/08/04,4778.4866,4775.8024
2020/08/05,4761.7637,4777.1089
2020/08/06,4779.2377,4762.7642
2020/08/07,4742.2939,4707.9262
2020/08/10,4681.7553,4724.8697
2020/08/11,4730.3748,4681.7837
2020/08/12,4668.8899,4647.6446
2020/08/13,4666.4901,4635.7126
2020/08/14,4627.61,4704.6288
2020/08/17,4727.1204,4815.2261
2020/08/18,4816.5703,4812.7564
2020/08/19,4804.6655,4740.6784
2020/08/20,4708.1253,4679.1544
2020/08/21,4717.7874,4718.8431
2020/08/24,4746.4035,4755.8491
2020/08/25,4769.2107,4761.9507
2020/08/26,4761.7186,4706.1302
2020/08/27,4718.062,4731.3451
2020/08/28,4727.292,4844.2652
2020/08/31,4870.9337,4816.2153
2020/09/01,4803.3922,4842.1223
2020/09/02,4859.0754,4843.887
2020/09/03,4841.502,4817.0952
2020/09/04,4737.2368,4770.219
2020/09/07,4759.5213,4669.3677
2020/09/08,4683.8256,4694.3894
2020/09/09,4634.247,4584.5887
2020/09/10,4632.0994,4581.9775
2020/09/11,4572.2572,4627.2826
2020/09/14,4652.0539,4651.0507
2020/09/15,4649.4472,4688.4826
2020/09/16,4683.006,4657.3584
2020/09/17,4642.0542,4632.7142
2020/09/18,4636.6422,4737.0887
2020/09/21,4750.7481,4691.4281
2020/09/22,4654.2179,4635.7608
2020/09/23,4639.6592,4652.3273
2020/09/24,4623.9535,4563.0657
2020/09/25,4582.482,4570.0216
2020/09/28,4582.6471,4581.9085
2020/09/29,4608.2926,4591.7993
2020/09/30,4607.5753,4587.3953
2020/10/09,4663.61,4681.1412
2020/10/12,4705.1883,4823.1578
2020/10/13,4812.8989,4839.201
2020/10/14,4830.4575,4807.1021
2020/10/15,4810.7821,4798.7361
2020/10/16,4798.9162,4791.676
2020/10/19,4823.4944,4755.4879
2020/10/20,4751.3694,4793.4672
2020/10/21,4801.6313,4792.8284
2020/10/22,4780.5954,4777.9845
2020/10/23,4775.4665,4718.4881
2020/10/26,4684.0465,4691.2359
2020/10/27,4680.1371,4699.2792
2020/10/28,4703.0036,4737.2718
2020/10/29,4683.607,4772.9198
2020/10/30,4776.4726,4695.3338
2020/11/02,4702.7457,4720.8313
2020/11/03,4743.1742,4777.5608
2020/11/04,4781.448,4813.6564
2020/11/05,4861.3377,4885.1118
2020/11/06,4897.6295,4885.7178
2020/11/09,4918.8609,4981.3497
2020/11/10,4995.4126,4953.8756
2020/11/11,4937.7582,4904.8981
2020/11/12,4916.7736,4908.463
2020/11/13,4886.9778,4856.8513
2020/11/16,4880.958,4904.1716
2020/11/17,4903.12,4894.786
2020/11/18,4889.6749,4891.6716
