代码,名称,日期,开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌幅,成交额(百万),成交量(股)
SPX.GI,标普500,1928-01-03,17.76,17.76,17.76,17.76,0,0,0
SPX.GI,标普500,1928-01-04,17.72,17.72,17.72,17.72,-0.0023,0,0
SPX.GI,标普500,1928-01-05,17.55,17.55,17.55,17.55,-0.0096,0,0
SPX.GI,标普500,1928-01-06,17.66,17.66,17.66,17.66,0.0063,0,0
SPX.GI,标普500,1928-01-09,17.5,17.5,17.5,17.5,-0.0091,0,0
SPX.GI,标普500,1928-01-10,17.37,17.37,17.37,17.37,-0.0074,0,0
SPX.GI,标普500,1928-01-11,17.35,17.35,17.35,17.35,-0.0012,0,0
SPX.GI,标普500,1928-01-12,17.47,17.47,17.47,17.47,0.0069,0,0
SPX.GI,标普500,1928-01-13,17.58,17.58,17.58,17.58,0.0063,0,0
SPX.GI,标普500,1928-01-16,17.29,17.29,17.29,17.29,-0.0165,0,0
SPX.GI,标普500,1928-01-17,17.3,17.3,17.3,17.3,0.0006,0,0
SPX.GI,标普500,1928-01-18,17.26,17.26,17.26,17.26,-0.0023,0,0
SPX.GI,标普500,1928-01-19,17.38,17.38,17.38,17.38,0.007,0,0
SPX.GI,标普500,1928-01-20,17.48,17.48,17.48,17.48,0.0058,0,0
SPX.GI,标普500,1928-01-23,17.64,17.64,17.64,17.64,0.0092,0,0
SPX.GI,标普500,1928-01-24,17.71,17.71,17.71,17.71,0.004,0,0
SPX.GI,标普500,1928-01-25,17.52,17.52,17.52,17.52,-0.0107,0,0
SPX.GI,标普500,1928-01-26,17.63,17.63,17.63,17.63,0.0063,0,0
SPX.GI,标普500,1928-01-27,17.69,17.69,17.69,17.69,0.0034,0,0
SPX.GI,标普500,1928-01-30,17.49,17.49,17.49,17.49,-0.0113,0,0
SPX.GI,标普500,1928-01-31,17.57,17.57,17.57,17.57,0.0046,0,0
SPX.GI,标普500,1928-02-01,17.53,17.53,17.53,17.53,-0.0023,0,0
SPX.GI,标普500,1928-02-02,17.63,17.63,17.63,17.63,0.0057,0,0
SPX.GI,标普500,1928-02-03,17.4,17.4,17.4,17.4,-0.013,0,0
SPX.GI,标普500,1928-02-06,17.45,17.45,17.45,17.45,0.0029,0,0
SPX.GI,标普500,1928-02-07,17.44,17.44,17.44,17.44,-0.0006,0,0
SPX.GI,标普500,1928-02-08,17.49,17.49,17.49,17.49,0.0029,0,0
SPX.GI,标普500,1928-02-09,17.55,17.55,17.55,17.55,0.0034,0,0
SPX.GI,标普500,1928-02-10,17.54,17.54,17.54,17.54,-0.0006,0,0
SPX.GI,标普500,1928-02-14,17.44,17.44,17.44,17.44,-0.0057,0,0
SPX.GI,标普500,1928-02-15,17.4,17.4,17.4,17.4,-0.0023,0,0
SPX.GI,标普500,1928-02-16,17.35,17.35,17.35,17.35,-0.0029,0,0
SPX.GI,标普500,1928-02-17,17.04,17.04,17.04,17.04,-0.0179,0,0
SPX.GI,标普500,1928-02-20,16.95,16.95,16.95,16.95,-0.0053,0,0
SPX.GI,标普500,1928-02-21,17.11,17.11,17.11,17.11,0.0094,0,0
SPX.GI,标普500,1928-02-23,17.13,17.13,17.13,17.13,0.0012,0,0
SPX.GI,标普500,1928-02-24,17.18,17.18,17.18,17.18,0.0029,0,0
SPX.GI,标普500,1928-02-27,17.11,17.11,17.11,17.11,-0.0041,0,0
SPX.GI,标普500,1928-02-28,17.16,17.16,17.16,17.16,0.0029,0,0
SPX.GI,标普500,1928-02-29,17.26,17.26,17.26,17.26,0.0058,0,0
SPX.GI,标普500,1928-03-01,17.3,17.3,17.3,17.3,0.0023,0,0
SPX.GI,标普500,1928-03-02,17.3,17.3,17.3,17.3,0,0,0
SPX.GI,标普500,1928-03-05,17.57,17.57,17.57,17.57,0.0156,0,0
SPX.GI,标普500,1928-03-06,17.67,17.67,17.67,17.67,0.0057,0,0
SPX.GI,标普500,1928-03-07,17.58,17.58,17.58,17.58,-0.0051,0,0
SPX.GI,标普500,1928-03-08,17.64,17.64,17.64,17.64,0.0034,0,0
SPX.GI,标普500,1928-03-09,17.93,17.93,17.93,17.93,0.0164,0,0
SPX.GI,标普500,1928-03-12,18,18,18,18,0.0039,0,0
SPX.GI,标普500,1928-03-13,17.92,17.92,17.92,17.92,-0.0044,0,0
SPX.GI,标普500,1928-03-14,17.93,17.93,17.93,17.93,0.0006,0,0
SPX.GI,标普500,1928-03-15,18.07,18.07,18.07,18.07,0.0078,0,0
SPX.GI,标普500,1928-03-16,18.26,18.26,18.26,18.26,0.0105,0,0
SPX.GI,标普500,1928-03-19,18.36,18.36,18.36,18.36,0.0055,0,0
SPX.GI,标普500,1928-03-20,18.46,18.46,18.46,18.46,0.0054,0,0
SPX.GI,标普500,1928-03-21,18.65,18.65,18.65,18.65,0.0103,0,0
SPX.GI,标普500,1928-03-22,18.6,18.6,18.6,18.6,-0.0027,0,0
SPX.GI,标普500,1928-03-23,18.78,18.78,18.78,18.78,0.0097,0,0
SPX.GI,标普500,1928-03-26,19.05,19.05,19.05,19.05,0.0144,0,0
SPX.GI,标普500,1928-03-27,18.94,18.94,18.94,18.94,-0.0058,0,0
SPX.GI,标普500,1928-03-28,18.89,18.89,18.89,18.89,-0.0026,0,0
SPX.GI,标普500,1928-03-29,18.95,18.95,18.95,18.95,0.0032,0,0
SPX.GI,标普500,1928-03-30,19.28,19.28,19.28,19.28,0.0174,0,0
