date,symbol,open,high,low,close,volume,log_close
2019-01-02,VIX_FROM_VXX,194.2,195.2,181.28,182,38620032,5.204006687076795
2019-01-03,VIX_FROM_VXX,185.88,194.6,185.04,190.84,41831020,5.251435380647906
2019-01-04,VIX_FROM_VXX,182.76,184.28,174.96,175.76,40874879,5.169119428076355
2019-01-07,VIX_FROM_VXX,174.04,176.6,169.4,171.76,33578874,5.1460981535705255
2019-01-08,VIX_FROM_VXX,168.68,174.52,167.6,168,27251861,5.123963979403259
2019-01-09,VIX_FROM_VXX,166.64,168.04,162.16,164.32,32746717,5.1018157461802485
2019-01-10,VIX_FROM_VXX,167,169.2,162.44,162.6,27227903,5.0912931971137105
2019-01-11,VIX_FROM_VXX,164.68,165.28,156.96,157.24,30928073,5.057773300553659
2019-01-14,VIX_FROM_VXX,161.4,161.72,155.28,157.84,26145282,5.06158186171436
2019-01-15,VIX_FROM_VXX,156.88,156.96,150.44,150.64,31032651,5.014892884348897
2019-01-16,VIX_FROM_VXX,149.2,153.64,148.56,153.28,24093739,5.03226631422255
2019-01-17,VIX_FROM_VXX,154.68,154.84,149.64,152.16,26825579,5.02493259879708
2019-01-18,VIX_FROM_VXX,147.64,150.04,145.4,148.32,34339779,4.999372101817545
2019-01-22,VIX_FROM_VXX,149.88,163.48,149.6,162.4,40860038,5.090062427727577
2019-01-23,VIX_FROM_VXX,158.72,170,158.4,160.08,33358192,5.075673690275478
2019-01-24,VIX_FROM_VXX,160.48,162.56,154.6,154.88,25703481,5.042650623528266
2019-01-25,VIX_FROM_VXX,151.28,152.36,148.44,149.12,31311121,5.004751350937281
2019-01-28,VIX_FROM_VXX,154.4,159.96,154.16,155.36,31457875,5.045745004543015
2019-01-29,VIX_FROM_VXX,153.24,157.16,152,154.76,14887561,5.041875529832312
2019-01-30,VIX_FROM_VXX,152.12,154.88,147.56,147.84,20963295,4.996130607893374
2019-01-31,VIX_FROM_VXX,147.6,147.68,141.72,141.72,22093490,4.953853279997271
2019-02-01,VIX_FROM_VXX,141.32,142.6,139.6,140.36,24996550,4.944210550715014
2019-02-04,VIX_FROM_VXX,139.72,140.64,135.36,136,18481791,4.912654885736052
2019-02-05,VIX_FROM_VXX,134.8,135.92,131.84,134.84,20677246,4.90408889036586
2019-02-06,VIX_FROM_VXX,133.76,135.64,132.32,134.12,16798400,4.898734921598028
2019-02-07,VIX_FROM_VXX,138.2,144.04,136.08,138.6,29786465,4.931592086755803
2019-02-08,VIX_FROM_VXX,141.76,143.08,136.64,136.92,19227106,4.919396813661985
2019-02-11,VIX_FROM_VXX,135.08,137.52,134.08,135.44,13598495,4.90852873782488
2019-02-12,VIX_FROM_VXX,132.28,133.88,131.4,133,20966912,4.890349128221754
2019-02-13,VIX_FROM_VXX,131.92,134.2,131.28,132.68,18414076,4.887940214078852
2019-02-14,VIX_FROM_VXX,135.72,138.16,132.52,135.08,26329934,4.905867195517367
2019-02-15,VIX_FROM_VXX,132.36,133.4,130.1,130.36,24096764,4.870299853969361
2019-02-19,VIX_FROM_VXX,132.68,133.08,129,130.76,15971605,4.87336358185601
2019-02-20,VIX_FROM_VXX,129.84,129.84,125.408,125.52,23108759,4.832465108424777
2019-02-21,VIX_FROM_VXX,126.08,129.14,123.8688,127.16,23697820,4.845446136042602
