,"开盘价
[单位] 元","收盘价
[单位] 元"
时间,上证50,上证50
2020/01/02,3073.9313,3090.8331
2020/01/03,3097.2518,3078.2793
2020/01/06,3062.2801,3056.8359
2020/01/07,3063.7464,3074.0152
2020/01/08,3058.3585,3037.8525
2020/01/09,3060.7743,3067.5456
2020/01/10,3079.0765,3067.881
2020/01/13,3069.6784,3090.1284
2020/01/14,3097.7248,3080.6016
2020/01/15,3078.2528,3058.0078
2020/01/16,3067.95,3043.0931
2020/01/17,3054.0361,3053.1729
2020/01/20,3070.6701,3065.9906
2020/01/21,3048.9459,3012.1123
2020/01/22,2996.8099,3017.8785
2020/01/23,2993.7726,2932.4932
2020/02/03,2676.0073,2727.0931
2020/02/04,2724.1314,2794.6606
2020/02/05,2803.7374,2812.8993
2020/02/06,2829.5111,2854.8878
2020/02/07,2836.7992,2851.7105
2020/02/10,2826.797,2850.0642
2020/02/11,2858.9245,2879.8575
2020/02/12,2876.6708,2895.5859
2020/02/13,2898.3985,2875.4794
2020/02/14,2870.7125,2895.0644
2020/02/17,2901.686,2950.0699
2020/02/18,2940.646,2924.3981
2020/02/19,2917.1249,2923.7633
2020/02/20,2931.3718,2978.1829
2020/02/21,2965.6019,2968.1381
2020/02/24,2949.978,2930.0332
2020/02/25,2891.9788,2909.324
2020/02/26,2877.4634,2901.6734
2020/02/27,2904.8654,2912.0364
2020/02/28,2860.2818,2821.0419
2020/03/02,2837.7737,2907.8863
2020/03/03,2941.6796,2921.4435
2020/03/04,2921.0678,2947.5666
2020/03/05,2966.6862,3018.0701
2020/03/06,2989.7649,2964.8348
2020/03/09,2908.6266,2868.8297
2020/03/10,2859.8694,2924.2165
2020/03/11,2927.8282,2888.3612
2020/03/12,2858.511,2841.9824
2020/03/13,2720.6127,2798.7695
2020/03/16,2799.9951,2694.0229
2020/03/17,2696.6972,2685.5907
2020/03/18,2695.4241,2625.747
2020/03/19,2611.7496,2569.7891
2020/03/20,2597.9793,2628.4161
2020/03/23,2548.8455,2559.6192
2020/03/24,2608.2448,2639.3834
2020/03/25,2700.0961,2700.1865
2020/03/26,2676.6159,2689.2803
2020/03/27,2722.4681,2701.4447
2020/03/30,2667.1202,2690.042
2020/03/31,2713.4987,2689.379
2020/04/01,2684.5001,2682.0795
2020/04/02,2667.9405,2719.8864
2020/04/03,2707.8191,2708.8246
2020/04/07,2756.2704,2757.4064
2020/04/08,2742.357,2743.8865
2020/04/09,2754.7165,2752.588
2020/04/10,2755.1967,2749.8466
2020/04/13,2740.0926,2739.1666
2020/04/14,2756.4996,2785.72
2020/04/15,2783.276,2764.4883
2020/04/16,2751.6937,2768.2616
2020/04/17,2790.8348,2809.0757
2020/04/20,2812.8012,2819.7938
2020/04/21,2808.913,2784.5328
2020/04/22,2774.4393,2804.2373
2020/04/23,2813.7322,2797.6612
2020/04/24,2789.0511,2776.0245
2020/04/27,2786.467,2805.2202
2020/04/28,2814.2298,2825.1393
2020/04/29,2814.5955,2844.8143
2020/04/30,2851.1447,2861.9077
2020/05/06,2823.2918,2863.8452
2020/05/07,2860.9591,2854.423
2020/05/08,2864.8561,2873.0125
2020/05/11,2876.772,2871.8476
2020/05/12,2871.3136,2869.5973
2020/05/13,2860.8202,2867.7123
2020/05/14,2854.7781,2834.5328
2020/05/15,2845.9099,2819.6911
2020/05/18,2821.7258,2837.1721
2020/05/19,2869.2324,2860.6682
2020/05/20,2861.5929,2856.1398
2020/05/21,2866.7448,2846.8239
2020/05/22,2840.8794,2775.8096
2020/05/25,2784.4347,2789.7095
2020/05/26,2806.248,2808.8419
2020/05/27,2810.4749,2795.4807
2020/05/28,2797.3679,2809.6648
2020/05/29,2791.6226,2806.6643
2020/06/01,2832.2174,2870.3558
2020/06/02,2864.5289,2885.9208
2020/06/03,2900.8702,2889.1086
2020/06/04,2900.9644,2883.3633
2020/06/05,2886.2329,2896.3495
2020/06/08,2907.675,2909.5867
2020/06/09,2911.9481,2928.3043
2020/06/10,2925.1657,2908.4753
2020/06/11,2899.4865,2876.513
2020/06/12,2840.8021,2884.1157
2020/06/15,2862.4896,2838.6074
2020/06/16,2867.7129,2878.9924
2020/06/17,2879.8483,2881.1321
2020/06/18,2872.1682,2888.9575
2020/06/19,2891.3093,2925.9356
2020/06/22,2921.297,2921.8915
2020/06/23,2913.0108,2925.416
2020/06/24,2928.5224,2943.4733
2020/06/29,2935.5423,2925.4834
2020/06/30,2933.9281,2942.0741
2020/07/01,2950.4921,3009.8611
2020/07/02,3005.357,3084.2381
2020/07/03,3101.3858,3159.1583
2020/07/06,3198.7384,3374.1362
2020/07/07,3438.8558,3381.7608
2020/07/08,3378.1092,3429.9449
2020/07/09,3426.5963,3442.0205
2020/07/10,3403.9961,3351.78
